Notes:,,
"When exporting your connection data, you may notice that some of the email addresses are missing. You will only see email addresses for connections who have allowed their connections to see or download their email address using this setting https://www.linkedin.com/psettings/privacy/email. You can learn more here https://www.linkedin.com/help/linkedin/answer/261",,
,,
Company,Position,Connected On
TalentQuest Recruitment,Recruitment Consultant,23-Nov-21
Ruike Consultancy,"Director - Banking, Financial Services & Fintech",23-Nov-21
Spencer Ogden,Recruitment Consultant,14-Nov-21
EY,Business Transformation Consultant,20-May-21
Peoplebank,Recruitment Consultant,27-Apr-21
Kam Lung Motor Group,Customer Service Administrator (Audi on demand),18-Feb-21
iKas International,Consultant,20-Jan-21
Scotiabank,Analyst | Global Capital Markets Banking,2-Jan-21
Immortalize.io,COO,10-Dec-20
JustOneGalaxy Recruitment,Talent Acquisition Manager,8-Oct-20
AIA,Senior Talent Sourcing Specialist - AIA Singapore,8-Sep-20
gumi Asia Pte Ltd,Senior Data Analyst,5-Aug-20
ASML,Talent Acquisition Searcher,9-Jul-20
AIA Hong Kong,高级经理,9-Jul-20
MGM MACAU,Assistant Housekeeping Manager,9-Jul-20
SparkBeyond,Sales and Strategy - Asia Pacific and Japan (Startup Artificial Intelligence - AI),8-Jul-20
SearchAsia Consulting,Search Consultant,8-Jul-20
Alteryx,Enterprise Account Executive,9-Apr-20
"The Hongkong and Shanghai Hotels, Limited",Finance Officer,2-Apr-20
Mackenzie Health,Clinical Pharmacist,31-Mar-20
TEDxTinHauWomen,Partnerships Manager,10-Mar-20
Foundation for Shared Impact (FSI),Community Connections Program Manager,10-Mar-20
Global Supply Chain Council - Asia's Largest Supply Chain Professional Organization,Research & Events Associate,16-Feb-20
Zendesk,Brand Designer,14-Feb-20
CareRx Corporation,"Clinical Pharmacist, Medication Reconciliation and Transition of Care specialist",4-Feb-20
CIBC,Mortgage Advisor,15-Jan-20
HSBC,Chief Information Security Officer Asia Pacific,11-Jan-20
Complete Respiratory Care Inc,Registered Respiratory Therapist,18-Dec-19
Olympia Chambers,Barrister-at-law,18-Dec-19
PPG-China,Senior Consultant,13-Dec-19
Executive Search Firm,Recruitment Consultant,20-Nov-19
Heitman,"Senior Associate, Investment Research",31-Oct-19
Soteria Trusts,Director - Business Development,6-Oct-19
Eames Consulting Group,Recruitment Consultant,6-Oct-19
Ontario Digital Service,Senior Product Manager,6-Oct-19
Hudson,Managing Consultant - Legal and Compliance,9-Sep-19
Fuel Change,Head Of Administration,4-Sep-19
Kenford Industrial Company Limited,Business Development Manager,19-Aug-19
HSBC,"Assistant Manager, Resourcing and Onboarding Operations",3-Aug-19
Recruit Logic,Managing Consultant,15-Jul-19
Bank of America,Corporate Sales,10-Jul-19
Southlake Regional Health Centre,Pharmacist,21-Jun-19
S&P Global Ratings,Senior Event Marketing Manager,9-Jun-19
LVMH Perfumes & Cosmetics,Assistant HR Manager (HR Business Partner),28-May-19
Rexall Pharmacy Group Ltd.,District Leader,27-May-19
DFS Group Limited,Manager - Mobility & Employee Policy ,27-May-19
PPG Search ,Senior Consultant - Banking & Financial Services Executive Search,16-May-19
Atrium HR Consulting,Recruitment Executive,15-May-19
EQ Works,Software Developer,14-May-19
Morgan Stanley,"Recruitment Partner, Experienced Hire",14-May-19
Randstad,Consultant| Front Office| Banking and Financial Services,17-Apr-19
Neat,Data Scientist,14-Apr-19
Manulife Hong Kong,"Manager, Regional Talent Acquisition",14-Apr-19
Manulife Investment Management,"Director, Manager Research",1-Apr-19
OSOME,Talent Acquisition Specialist,25-Mar-19
"Fubon Financial Holding Co., Ltd. 富邦金控",HR Assistant Manager,25-Mar-19
The Adecco Group,Team Leader - Education & Corporate Functions,5-Mar-19
MTR,Project Risk Engineer,25-Feb-19
Nityo Infotech,Technical Recruiter,25-Feb-19
JLL,"Talent Acquisition Operations Excellence Manager, APAC",23-Feb-19
PICCO Bent Consultancy Limited,Executive Director,22-Feb-19
Exclusive Networks JJNet Hong Kong Limited,Product Manager,22-Feb-19
Lighthouse Recruitment Limited,Team Lead,21-Feb-19
DJRecruit Asia,Information Technology Recruiter,21-Feb-19
"IPO, M&A Finance Mandarin","CEO, Raise expansion capital for AI+Education venture, 300 corporate clients ",16-Feb-19
JPMorgan Chase & Co.,"Associate, Experienced Recruiting, CIB & AWM",6-Feb-19
Rod & Staff Recruitment (Group),Managing Consultant,28-Jan-19
Talent Ticker,Client Success Manager,24-Jan-19
IKEA,Resourcing Leader,16-Jan-19
Barclays,Assistant Vice President - Finance Control & Technical accounting,16-Jan-19
Hays,Business Manager | Recruiting Experts in Insurance,8-Jan-19
Bloomberg LP,Entry Level Recruiter,7-Jan-19
Hong Kong Economic Times,Deputy Business Director - Advertising Dept,6-Jan-19
TD,Financial Planner,19-Dec-18
Gravitas Recruitment Group Asia,Principal Team Leader - Front Office & Governance,19-Dec-18
Roche,"Medical Manager, Oncology",30-Nov-18
Shoppers Drug Mart,Manager Pharmacist - Patient Contact Centre,30-Nov-18
International Monetary Fund,Research Analyst,14-Nov-18
Shoppers Drug Mart,Pharmacist,11-Oct-18
Mainstay Asia,Vertical Lead - Data ,3-Oct-18
